"","Year","Country...territory.of.asylum.residence","Origin","Population.type","Value"
"1098",1974,"Argentina","Various/Unknown","Refugees (incl. refugee-like situations)","30500"
"1099",1974,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","25000"
"1100",1974,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","48500"
"1101",1974,"Burundi","Rwanda","Returnees","230"
"1102",1974,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","11100"
"1103",1974,"Bangladesh","Pakistan","Returnees","104320"
"1104",1974,"Bahrain","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"1105",1974,"Bolivia (Plurinational State of)","Various/Unknown","Refugees (incl. refugee-like situations)","700"
"1106",1974,"Brazil","Various/Unknown","Refugees (incl. refugee-like situations)","34000"
"1107",1974,"Botswana","Angola","Refugees (incl. refugee-like situations)","2210"
"1108",1974,"Botswana","Lesotho","Refugees (incl. refugee-like situations)","110"
"1109",1974,"Botswana","Namibia","Refugees (incl. refugee-like situations)","50"
"1110",1974,"Botswana","South Africa","Refugees (incl. refugee-like situations)","110"
"1111",1974,"Central African Rep.","Various/Unknown","Refugees (incl. refugee-like situations)","5000"
"1112",1974,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","11410"
"1113",1974,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","35000"
"1114",1974,"Chile","Various/Unknown","Refugees (incl. refugee-like situations)","3700"
"1115",1974,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","450000"
"1116",1974,"Dem. Rep. of the Congo","Burundi","Refugees (incl. refugee-like situations)","24000"
"1117",1974,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","24300"
"1118",1974,"Dem. Rep. of the Congo","Various/Unknown","Refugees (incl. refugee-like situations)","950"
"1119",1974,"Dem. Rep. of the Congo","Zambia","Refugees (incl. refugee-like situations)","4000"
"1120",1974,"Congo","Angola","Refugees (incl. refugee-like situations)","10000"
"1121",1974,"Colombia","Various/Unknown","Refugees (incl. refugee-like situations)","1200"
"1122",1974,"Costa Rica","Chile","Refugees (incl. refugee-like situations)","200"
"1123",1974,"Cuba","Chile","Refugees (incl. refugee-like situations)","1300"
"1124",1974,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","123000"
"1125",1974,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2900"
"1126",1974,"Dominican Rep.","Haiti","Refugees (incl. refugee-like situations)","1000"
"1127",1974,"Ecuador","Various/Unknown","Refugees (incl. refugee-like situations)","200"
"1128",1974,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","4000"
"1129",1974,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","18000"
"1130",1974,"Ethiopia","Sudan","Refugees (incl. refugee-like situations)","5770"
"1131",1974,"Ethiopia","Sudan","Returnees","380"
"1132",1974,"Ethiopia","Various/Unknown","Refugees (incl. refugee-like situations)","140"
"1133",1974,"France","Various/Unknown","Refugees (incl. refugee-like situations)","105538"
"1134",1974,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","155500"
"1135",1974,"Greece","Greece","Refugees (incl. refugee-like situations)","580"
"1136",1974,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","2130"
"1137",1974,"Guyana","Cuba","Refugees (incl. refugee-like situations)","200"
"1138",1974,"India","Tibetan","Refugees (incl. refugee-like situations)","59900"
"1139",1974,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","13000"
"1140",1974,"Kenya","Namibia","Refugees (incl. refugee-like situations)","70"
"1141",1974,"Kenya","United Rep. of Tanzania","Refugees (incl. refugee-like situations)","240"
"1142",1974,"Kenya","Uganda","Refugees (incl. refugee-like situations)","360"
"1143",1974,"Kenya","Various/Unknown","Refugees (incl. refugee-like situations)","2070"
"1144",1974,"Lesotho","South Africa","Refugees (incl. refugee-like situations)","190"
"1145",1974,"Morocco","Czech Rep.","Refugees (incl. refugee-like situations)","50"
"1146",1974,"Morocco","Spain","Refugees (incl. refugee-like situations)","210"
"1147",1974,"Morocco","Hungary","Refugees (incl. refugee-like situations)","80"
"1148",1974,"Morocco","Poland","Refugees (incl. refugee-like situations)","70"
"1149",1974,"Morocco","Russian Federation","Refugees (incl. refugee-like situations)","80"
"1150",1974,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","130"
"1151",1974,"Mexico","Various/Unknown","Refugees (incl. refugee-like situations)","3500"
"1152",1974,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","8015"
"1153",1974,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"1154",1974,"Nepal","Pakistan","Returnees","10870"
"1155",1974,"Nepal","Tibetan","Refugees (incl. refugee-like situations)","8100"
"1156",1974,"Panama","Cuba","Refugees (incl. refugee-like situations)","800"
"1157",1974,"Panama","Various/Unknown","Refugees (incl. refugee-like situations)","350"
"1158",1974,"Peru","Various/Unknown","Refugees (incl. refugee-like situations)","4600"
"1159",1974,"Paraguay","Various/Unknown","Refugees (incl. refugee-like situations)","1160"
"1160",1974,"Rwanda","Burundi","Refugees (incl. refugee-like situations)","6000"
"1161",1974,"Saudi Arabia","Various/Unknown","Refugees (incl. refugee-like situations)","100"
"1162",1974,"Sudan","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","4500"
"1163",1974,"Sudan","Ethiopia","Refugees (incl. refugee-like situations)","49200"
"1164",1974,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","90000"
"1165",1974,"Serbia and Kosovo (S/RES/1244 (1999))","Various/Unknown","Refugees (incl. refugee-like situations)","26300"
"1166",1974,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"1167",1974,"Swaziland","Various/Unknown","Refugees (incl. refugee-like situations)","50"
"1168",1974,"Turkey","Albania","Refugees (incl. refugee-like situations)","380"
"1169",1974,"Turkey","Bulgaria","Refugees (incl. refugee-like situations)","300"
"1170",1974,"Turkey","Hungary","Refugees (incl. refugee-like situations)","70"
"1171",1974,"Turkey","Romania","Refugees (incl. refugee-like situations)","70"
"1172",1974,"Turkey","Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)","120"
"1173",1974,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","120"
"1174",1974,"United Rep. of Tanzania","Burundi","Refugees (incl. refugee-like situations)","90880"
"1175",1974,"United Rep. of Tanzania","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","930"
"1176",1974,"United Rep. of Tanzania","Mozambique","Refugees (incl. refugee-like situations)","70670"
"1177",1974,"United Rep. of Tanzania","Mozambique","Returnees","7100"
"1178",1974,"United Rep. of Tanzania","Malawi","Refugees (incl. refugee-like situations)","80"
"1179",1974,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","27420"
"1180",1974,"United Rep. of Tanzania","Uganda","Refugees (incl. refugee-like situations)","2270"
"1181",1974,"United Rep. of Tanzania","Various/Unknown","Refugees (incl. refugee-like situations)","470"
"1182",1974,"United Rep. of Tanzania","South Africa","Refugees (incl. refugee-like situations)","470"
"1183",1974,"Uganda","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","34390"
"1184",1974,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","78040"
"1185",1974,"Uganda","Rwanda","Returnees","100"
"1186",1974,"Uganda","Sudan","Refugees (incl. refugee-like situations)","6000"
"1187",1974,"Uganda","United Rep. of Tanzania","Refugees (incl. refugee-like situations)","80"
"1188",1974,"Uruguay","Various/Unknown","Refugees (incl. refugee-like situations)","1250"
"1189",1974,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","530000"
"1190",1974,"Venezuela (Bolivarian Republic of)","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","150"
"1191",1974,"Venezuela (Bolivarian Republic of)","Chile","Refugees (incl. refugee-like situations)","50"
"1192",1974,"Venezuela (Bolivarian Republic of)","Cuba","Refugees (incl. refugee-like situations)","600"
"1193",1974,"Venezuela (Bolivarian Republic of)","Various/Unknown","Refugees (incl. refugee-like situations)","13550"
"1194",1974,"Zambia","Angola","Refugees (incl. refugee-like situations)","25180"
"1195",1974,"Zambia","Mozambique","Refugees (incl. refugee-like situations)","10290"
"1196",1974,"Zambia","Mozambique","Returnees","140"
"1197",1974,"Zambia","Namibia","Refugees (incl. refugee-like situations)","3300"
"1198",1974,"Zambia","Various/Unknown","Refugees (incl. refugee-like situations)","1050"
"1199",1974,"Zambia","South Africa","Refugees (incl. refugee-like situations)","610"
"1200",1975,"Argentina","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","90"
"1201",1975,"Argentina","Chile","Refugees (incl. refugee-like situations)","14400"
"1202",1975,"Argentina","Uruguay","Refugees (incl. refugee-like situations)","570"
"1203",1975,"Argentina","Various/Unknown","Refugees (incl. refugee-like situations)","30940"
"1204",1975,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"1205",1975,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","49500"
"1206",1975,"Burundi","Rwanda","Returnees","50"
"1207",1975,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","16788"
"1208",1975,"Brazil","Various/Unknown","Refugees (incl. refugee-like situations)","32000"
"1209",1975,"Botswana","Angola","Refugees (incl. refugee-like situations)","1790"
"1210",1975,"Botswana","Lesotho","Refugees (incl. refugee-like situations)","190"
"1211",1975,"Botswana","Namibia","Refugees (incl. refugee-like situations)","150"
"1212",1975,"Botswana","Namibia","Returnees","170"
"1213",1975,"Botswana","South Africa","Refugees (incl. refugee-like situations)","190"
"1214",1975,"Botswana","Zimbabwe","Refugees (incl. refugee-like situations)","80"
"1215",1975,"Botswana","Zimbabwe","Returnees","580"
"1216",1975,"Central African Rep.","Various/Unknown","Refugees (incl. refugee-like situations)","5000"
"1217",1975,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","16349"
"1218",1975,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","35000"
"1219",1975,"Chile","Various/Unknown","Refugees (incl. refugee-like situations)","3300"
"1220",1975,"C̫te d'Ivoire","Guinea","Refugees (incl. refugee-like situations)","300000"
"1221",1975,"Cameroon","Equatorial Guinea","Refugees (incl. refugee-like situations)","30000"
"1222",1975,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","460000"
"1223",1975,"Dem. Rep. of the Congo","Burundi","Refugees (incl. refugee-like situations)","24000"
"1224",1975,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","24300"
"1225",1975,"Dem. Rep. of the Congo","Various/Unknown","Refugees (incl. refugee-like situations)","950"
"1226",1975,"Dem. Rep. of the Congo","Zambia","Refugees (incl. refugee-like situations)","750"
"1227",1975,"Congo","Angola","Refugees (incl. refugee-like situations)","5000"
"1228",1975,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","122000"
"1229",1975,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2125"
"1230",1975,"Algeria","Chile","Refugees (incl. refugee-like situations)","350"
"1231",1975,"Algeria","Western Sahara","Refugees (incl. refugee-like situations)","20000"
"1232",1975,"Algeria","Various/Unknown","Refugees (incl. refugee-like situations)","650"
"1233",1975,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","4000"
"1234",1975,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","16000"
"1235",1975,"Ethiopia","Sudan","Refugees (incl. refugee-like situations)","11000"
"1236",1975,"Ethiopia","Various/Unknown","Refugees (incl. refugee-like situations)","150"
"1237",1975,"France","Various/Unknown","Refugees (incl. refugee-like situations)","109882"
"1238",1975,"Gabon","Equatorial Guinea","Refugees (incl. refugee-like situations)","60000"
"1239",1975,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","153000"
"1240",1975,"Ghana","Various/Unknown","Refugees (incl. refugee-like situations)","130"
"1241",1975,"Gambia","Guinea-Bissau","Returnees","1240"
"1242",1975,"Greece","Greece","Refugees (incl. refugee-like situations)","510"
"1243",1975,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","2090"
"1244",1975,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","11900"
"1245",1975,"Kenya","Ethiopia","Refugees (incl. refugee-like situations)","300"
"1246",1975,"Kenya","Mozambique","Refugees (incl. refugee-like situations)","600"
"1247",1975,"Kenya","Namibia","Refugees (incl. refugee-like situations)","100"
"1248",1975,"Kenya","Rwanda","Refugees (incl. refugee-like situations)","700"
"1249",1975,"Kenya","Various/Unknown","Refugees (incl. refugee-like situations)","600"
"1250",1975,"Kenya","South Africa","Refugees (incl. refugee-like situations)","90"
"1251",1975,"Kenya","Zimbabwe","Refugees (incl. refugee-like situations)","60"
"1252",1975,"Lao People's Dem. Rep.","Various/Unknown","Refugees (incl. refugee-like situations)","70"
"1253",1975,"Lesotho","South Africa","Refugees (incl. refugee-like situations)","190"
"1254",1975,"Morocco","Czech Rep.","Refugees (incl. refugee-like situations)","50"
"1255",1975,"Morocco","Spain","Refugees (incl. refugee-like situations)","140"
"1256",1975,"Morocco","Hungary","Refugees (incl. refugee-like situations)","70"
"1257",1975,"Morocco","Poland","Refugees (incl. refugee-like situations)","60"
"1258",1975,"Morocco","Russian Federation","Refugees (incl. refugee-like situations)","70"
"1259",1975,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","120"
"1260",1975,"Mozambique","Malawi","Refugees (incl. refugee-like situations)","30000"
"1261",1975,"Mozambique","South Africa","Refugees (incl. refugee-like situations)","70"
"1262",1975,"Mozambique","Zimbabwe","Refugees (incl. refugee-like situations)","14500"
"1263",1975,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","7850"
"1264",1975,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","3000"
"1265",1975,"Nepal","Tibetan","Refugees (incl. refugee-like situations)","8200"
"1266",1975,"Peru","Chile","Refugees (incl. refugee-like situations)","600"
"1267",1975,"Philippines","Viet Nam","Refugees (incl. refugee-like situations)","690"
"1268",1975,"Portugal","Various/Unknown","Refugees (incl. refugee-like situations)","150"
"1269",1975,"Rwanda","Burundi","Refugees (incl. refugee-like situations)","7400"
"1270",1975,"Sudan","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","4500"
"1271",1975,"Sudan","Ethiopia","Refugees (incl. refugee-like situations)","91000"
"1272",1975,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","46000"
"1273",1975,"Senegal","Guinea-Bissau","Returnees","40000"
"1274",1975,"Serbia and Kosovo (S/RES/1244 (1999))","Various/Unknown","Refugees (incl. refugee-like situations)","26300"
"1275",1975,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"1276",1975,"Swaziland","Various/Unknown","Refugees (incl. refugee-like situations)","50"
"1277",1975,"Thailand","Cambodia","Refugees (incl. refugee-like situations)","18830"
"1278",1975,"Thailand","Cambodia","Returnees","80"
"1279",1975,"Thailand","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","55510"
"1280",1975,"Thailand","Viet Nam","Refugees (incl. refugee-like situations)","1420"
"1281",1975,"Thailand","Viet Nam","Returnees","100"
"1282",1975,"Turkey","Albania","Refugees (incl. refugee-like situations)","380"
"1283",1975,"Turkey","Bulgaria","Refugees (incl. refugee-like situations)","300"
"1284",1975,"Turkey","Hungary","Refugees (incl. refugee-like situations)","70"
"1285",1975,"Turkey","Romania","Refugees (incl. refugee-like situations)","70"
"1286",1975,"Turkey","Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)","120"
"1287",1975,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","120"
"1288",1975,"United Rep. of Tanzania","Burundi","Refugees (incl. refugee-like situations)","110540"
"1289",1975,"United Rep. of Tanzania","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","400"
"1290",1975,"United Rep. of Tanzania","Mozambique","Refugees (incl. refugee-like situations)","33700"
"1291",1975,"United Rep. of Tanzania","Mozambique","Returnees","36900"
"1292",1975,"United Rep. of Tanzania","Malawi","Refugees (incl. refugee-like situations)","80"
"1293",1975,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","23100"
"1294",1975,"United Rep. of Tanzania","Uganda","Refugees (incl. refugee-like situations)","2300"
"1295",1975,"United Rep. of Tanzania","Various/Unknown","Refugees (incl. refugee-like situations)","900"
"1296",1975,"United Rep. of Tanzania","South Africa","Refugees (incl. refugee-like situations)","60"
"1297",1975,"United Rep. of Tanzania","Zimbabwe","Refugees (incl. refugee-like situations)","80"
"1298",1975,"Uganda","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","34450"
"1299",1975,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","78120"
"1300",1975,"Uganda","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"1301",1975,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","530000"
"1302",1975,"Zambia","Angola","Refugees (incl. refugee-like situations)","30040"
"1303",1975,"Zambia","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","60"
"1304",1975,"Zambia","Congo","Refugees (incl. refugee-like situations)","110"
"1305",1975,"Zambia","Ethiopia","Refugees (incl. refugee-like situations)","110"
"1306",1975,"Zambia","Kenya","Refugees (incl. refugee-like situations)","90"
"1307",1975,"Zambia","Lesotho","Refugees (incl. refugee-like situations)","120"
"1308",1975,"Zambia","Mozambique","Refugees (incl. refugee-like situations)","450"
"1309",1975,"Zambia","Mozambique","Returnees","9840"
"1310",1975,"Zambia","Malawi","Refugees (incl. refugee-like situations)","270"
"1311",1975,"Zambia","Namibia","Refugees (incl. refugee-like situations)","3720"
"1312",1975,"Zambia","Somalia","Refugees (incl. refugee-like situations)","110"
"1313",1975,"Zambia","Uganda","Refugees (incl. refugee-like situations)","210"
"1314",1975,"Zambia","South Africa","Refugees (incl. refugee-like situations)","760"
"1315",1976,"Angola","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","5000"
"1316",1976,"Angola","Namibia","Refugees (incl. refugee-like situations)","5000"
"1317",1976,"United Arab Emirates","Various/Unknown","Refugees (incl. refugee-like situations)","4000"
"1318",1976,"Argentina","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","60"
"1319",1976,"Argentina","Chile","Refugees (incl. refugee-like situations)","1580"
"1320",1976,"Argentina","Uruguay","Refugees (incl. refugee-like situations)","1050"
"1321",1976,"Argentina","Various/Unknown","Refugees (incl. refugee-like situations)","38320"
"1322",1976,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","25000"
"1323",1976,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","49500"
"1324",1976,"Burundi","Rwanda","Returnees","80"
"1325",1976,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","17000"
"1326",1976,"Brazil","Various/Unknown","Refugees (incl. refugee-like situations)","30000"
"1327",1976,"Botswana","Angola","Refugees (incl. refugee-like situations)","120"
"1328",1976,"Botswana","Namibia","Refugees (incl. refugee-like situations)","560"
"1329",1976,"Botswana","Various/Unknown","Refugees (incl. refugee-like situations)","280"
"1330",1976,"Botswana","South Africa","Refugees (incl. refugee-like situations)","780"
"1331",1976,"Botswana","Zimbabwe","Refugees (incl. refugee-like situations)","1100"
"1332",1976,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","27387"
"1333",1976,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","35000"
"1334",1976,"Chile","Various/Unknown","Refugees (incl. refugee-like situations)","4000"
"1335",1976,"C̫te d'Ivoire","Guinea","Refugees (incl. refugee-like situations)","500000"
"1336",1976,"C̫te d'Ivoire","Various/Unknown","Refugees (incl. refugee-like situations)","70"
"1337",1976,"Cameroon","Equatorial Guinea","Refugees (incl. refugee-like situations)","30000"
"1338",1976,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","471340"
"1339",1976,"Dem. Rep. of the Congo","Burundi","Refugees (incl. refugee-like situations)","18220"
"1340",1976,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","24500"
"1341",1976,"Dem. Rep. of the Congo","Various/Unknown","Refugees (incl. refugee-like situations)","190"
"1342",1976,"Dem. Rep. of the Congo","Zambia","Refugees (incl. refugee-like situations)","750"
"1343",1976,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","122000"
"1344",1976,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","2100"
"1345",1976,"Algeria","Chile","Refugees (incl. refugee-like situations)","650"
"1346",1976,"Algeria","Western Sahara","Refugees (incl. refugee-like situations)","35000"
"1347",1976,"Algeria","Spain","Refugees (incl. refugee-like situations)","450"
"1348",1976,"Algeria","Palestinian","Refugees (incl. refugee-like situations)","3200"
"1349",1976,"Algeria","Uruguay","Refugees (incl. refugee-like situations)","110"
"1350",1976,"Algeria","Various/Unknown","Refugees (incl. refugee-like situations)","170"
"1351",1976,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","4000"
"1352",1976,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","16500"
"1353",1976,"Ethiopia","Sudan","Refugees (incl. refugee-like situations)","10600"
"1354",1976,"Ethiopia","Various/Unknown","Refugees (incl. refugee-like situations)","90"
"1355",1976,"France","Various/Unknown","Refugees (incl. refugee-like situations)","114634"
"1356",1976,"Gabon","Equatorial Guinea","Refugees (incl. refugee-like situations)","60000"
"1357",1976,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","153000"
"1358",1976,"Ghana","Various/Unknown","Refugees (incl. refugee-like situations)","180"
"1359",1976,"Greece","Greece","Refugees (incl. refugee-like situations)","450"
"1360",1976,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","2110"
"1361",1976,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","11900"
"1362",1976,"Kenya","Ethiopia","Refugees (incl. refugee-like situations)","630"
"1363",1976,"Kenya","Mozambique","Refugees (incl. refugee-like situations)","130"
"1364",1976,"Kenya","Mozambique","Returnees","290"
"1365",1976,"Kenya","Namibia","Refugees (incl. refugee-like situations)","60"
"1366",1976,"Kenya","Rwanda","Refugees (incl. refugee-like situations)","330"
"1367",1976,"Kenya","Rwanda","Returnees","150"
"1368",1976,"Kenya","Somalia","Refugees (incl. refugee-like situations)","50"
"1369",1976,"Kenya","Uganda","Refugees (incl. refugee-like situations)","450"
"1370",1976,"Kenya","Various/Unknown","Refugees (incl. refugee-like situations)","800"
"1371",1976,"Kenya","South Africa","Refugees (incl. refugee-like situations)","50"
"1372",1976,"Lao People's Dem. Rep.","Cambodia","Refugees (incl. refugee-like situations)","110"
"1373",1976,"Lebanon","Various/Unknown","Refugees (incl. refugee-like situations)","700000"
"1374",1976,"Lesotho","South Africa","Refugees (incl. refugee-like situations)","900"
"1375",1976,"Morocco","Spain","Refugees (incl. refugee-like situations)","60"
"1376",1976,"Morocco","Hungary","Refugees (incl. refugee-like situations)","50"
"1377",1976,"Morocco","Poland","Refugees (incl. refugee-like situations)","50"
"1378",1976,"Morocco","Russian Federation","Refugees (incl. refugee-like situations)","60"
"1379",1976,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","140"
"1380",1976,"Mozambique","Zimbabwe","Refugees (incl. refugee-like situations)","30000"
"1381",1976,"Nigeria","Namibia","Refugees (incl. refugee-like situations)","50"
"1382",1976,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","7900"
"1383",1976,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"1384",1976,"Nepal","Tibetan","Refugees (incl. refugee-like situations)","8300"
"1385",1976,"Peru","Chile","Refugees (incl. refugee-like situations)","440"
"1386",1976,"Philippines","Viet Nam","Refugees (incl. refugee-like situations)","940"
"1387",1976,"Rwanda","Burundi","Refugees (incl. refugee-like situations)","7500"
"1388",1976,"Sudan","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","4500"
"1389",1976,"Sudan","Ethiopia","Refugees (incl. refugee-like situations)","105000"
"1390",1976,"Sudan","Uganda","Refugees (incl. refugee-like situations)","600"
"1391",1976,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","37000"
"1392",1976,"Senegal","Guinea-Bissau","Returnees","9000"
"1393",1976,"Senegal","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"1394",1976,"Sierra Leone","Various/Unknown","Refugees (incl. refugee-like situations)","170"
"1395",1976,"Serbia and Kosovo (S/RES/1244 (1999))","Various/Unknown","Refugees (incl. refugee-like situations)","26000"
"1396",1976,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"1397",1976,"Swaziland","South Africa","Refugees (incl. refugee-like situations)","80"
"1398",1976,"Togo","Benin","Refugees (incl. refugee-like situations)","100"
"1399",1976,"Thailand","Cambodia","Refugees (incl. refugee-like situations)","17090"
"1400",1976,"Thailand","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","62720"
"1401",1976,"Thailand","Viet Nam","Refugees (incl. refugee-like situations)","3060"
"1402",1976,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","1060"
"1403",1976,"United Rep. of Tanzania","Burundi","Refugees (incl. refugee-like situations)","126600"
"1404",1976,"United Rep. of Tanzania","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","340"
"1405",1976,"United Rep. of Tanzania","Mozambique","Returnees","3470"
"1406",1976,"United Rep. of Tanzania","Malawi","Refugees (incl. refugee-like situations)","60"
"1407",1976,"United Rep. of Tanzania","Rwanda","Refugees (incl. refugee-like situations)","23600"
"1408",1976,"United Rep. of Tanzania","Uganda","Refugees (incl. refugee-like situations)","2200"
"1409",1976,"United Rep. of Tanzania","Various/Unknown","Refugees (incl. refugee-like situations)","1200"
"1410",1976,"Uganda","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","34230"
"1411",1976,"Uganda","Ethiopia","Refugees (incl. refugee-like situations)","70"
"1412",1976,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","78480"
"1413",1976,"Uganda","Rwanda","Returnees","200"
"1414",1976,"Uganda","United Rep. of Tanzania","Refugees (incl. refugee-like situations)","90"
"1415",1976,"Uganda","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"1416",1976,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","500000"
"1417",1976,"Zambia","Angola","Refugees (incl. refugee-like situations)","27730"
"1418",1976,"Zambia","Mozambique","Refugees (incl. refugee-like situations)","450"
"1419",1976,"Zambia","Namibia","Refugees (incl. refugee-like situations)","3350"
"1420",1976,"Zambia","Various/Unknown","Refugees (incl. refugee-like situations)","2050"
"1421",1976,"Zambia","South Africa","Refugees (incl. refugee-like situations)","370"
"1422",1976,"Zambia","Zimbabwe","Refugees (incl. refugee-like situations)","120"
"1423",1977,"Angola","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","225000"
"1424",1977,"Angola","Namibia","Refugees (incl. refugee-like situations)","10000"
"1425",1977,"United Arab Emirates","United Rep. of Tanzania","Refugees (incl. refugee-like situations)","300"
"1426",1977,"United Arab Emirates","Uganda","Refugees (incl. refugee-like situations)","90"
"1427",1977,"Argentina","Various/Unknown","Refugees (incl. refugee-like situations)","35000"
"1428",1977,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"1429",1977,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","50000"
"1430",1977,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","17000"
"1431",1977,"Brazil","Various/Unknown","Refugees (incl. refugee-like situations)","36000"
"1432",1977,"Botswana","Angola","Refugees (incl. refugee-like situations)","130"
"1433",1977,"Botswana","Lesotho","Refugees (incl. refugee-like situations)","90"
"1434",1977,"Botswana","Namibia","Refugees (incl. refugee-like situations)","80"
"1435",1977,"Botswana","South Africa","Refugees (incl. refugee-like situations)","510"
